N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,3,5,cluster,True,0.061,0.243,0.855,0.142,0.152,2.982,0.734,1180,473
50,3,5,random,True,0.068,0.232,0.76,0.137,0.162,2.966,0.732,1207,479
50,1,5,random,True,0.069,0.238,0.891,0.137,0.152,2.972,0.741,1177,470
50,3,5,cluster,True,0.07,0.236,0.838,0.137,0.15,2.98,0.741,1191,479
50,1,5,cluster,True,0.071,0.242,0.819,0.142,0.142,2.989,0.748,1188,476
50,1,5,random,False,0.073,0.197,0.885,0.111,0.0,2.95,0.757,1188,467
50,3,5,random,False,0.075,0.196,0.868,0.111,0.0,2.963,0.758,1172,471
50,1,5,high-degree,True,0.077,0.276,0.895,0.163,0.143,2.958,0.736,1214,477
50,1,5,high-degree,True,0.077,0.277,0.907,0.163,0.143,2.972,0.739,1184,478
50,3,5,random,True,0.079,0.233,0.875,0.135,0.148,2.952,0.731,1171,474
50,3,5,high-degree,True,0.085,0.302,0.926,0.18,0.139,2.958,0.733,1211,479
50,1,5,random,True,0.092,0.216,0.788,0.125,0.154,2.963,0.739,1160,474
50,3,5,high-degree,True,0.093,0.282,0.932,0.166,0.155,2.968,0.729,1159,478
50,3,5,cluster,False,0.094,0.211,0.847,0.12,0.0,2.956,0.749,1193,475
50,1,5,cluster,True,0.095,0.233,0.875,0.135,0.141,2.979,0.75,1174,477
50,3,5,high-degree,False,0.098,0.245,0.908,0.142,0.0,2.972,0.755,1189,474
50,1,5,high-degree,False,0.1,0.242,0.921,0.139,0.0,2.968,0.76,1187,478
50,1,5,cluster,False,0.104,0.201,0.922,0.113,0.0,2.946,0.751,1157,468
75,1,5,high-degree,True,0.035,0.207,0.889,0.117,0.53,2.907,0.689,2131,1118
75,1,5,high-degree,True,0.038,0.16,0.933,0.088,0.198,2.934,0.805,2177,1094
75,1,5,cluster,True,0.04,0.133,0.885,0.072,0.2,2.946,0.796,2160,1091
75,3,5,high-degree,True,0.046,0.166,0.935,0.091,0.204,2.953,0.797,2109,1092
75,1,5,random,True,0.047,0.126,0.867,0.068,0.201,2.945,0.796,2218,1105
75,3,5,high-degree,True,0.047,0.152,0.952,0.083,0.209,2.935,0.79,2163,1104
75,1,5,cluster,True,0.05,0.116,0.8,0.063,0.204,2.915,0.788,2178,1095
75,3,5,cluster,True,0.053,0.126,0.903,0.068,0.192,2.934,0.797,2173,1092
