N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,1,5,cluster,True,0.053,0.232,0.848,0.135,0.155,3.011,0.756,1153,493
50,3,5,random,True,0.063,0.243,0.855,0.142,0.153,2.983,0.749,1171,491
50,2,5,high-degree,True,0.068,0.276,0.821,0.166,0.164,2.99,0.75,1168,493
50,1,5,high-degree,True,0.068,0.253,0.838,0.149,0.157,2.996,0.747,1149,488
50,3,5,random,True,0.068,0.22,0.803,0.127,0.151,2.998,0.753,1140,488
50,3,10,cluster,False,0.068,0.329,0.894,0.202,0.0,2.99,0.763,1166,488
50,3,10,high-degree,True,0.071,0.433,0.87,0.288,0.158,2.996,0.737,1182,490
50,1,10,random,True,0.071,0.403,0.846,0.264,0.193,2.991,0.742,1167,492
50,2,5,high-degree,False,0.073,0.227,0.9,0.13,0.0,2.995,0.778,1135,484
50,1,5,high-degree,True,0.073,0.259,0.821,0.154,0.148,2.997,0.747,1164,488
50,2,10,cluster,True,0.073,0.368,0.787,0.24,0.186,2.99,0.744,1175,492
50,1,10,cluster,True,0.074,0.376,0.803,0.245,0.148,3.01,0.754,1167,487
50,2,5,high-degree,True,0.075,0.271,0.859,0.161,0.149,2.995,0.748,1176,487
50,1,10,random,True,0.076,0.407,0.813,0.272,0.169,2.991,0.742,1182,489
50,3,10,random,False,0.077,0.358,0.903,0.224,0.0,2.979,0.767,1150,481
50,3,10,high-degree,False,0.077,0.356,0.877,0.224,0.0,2.978,0.77,1156,480
50,1,10,high-degree,True,0.078,0.437,0.877,0.291,0.18,2.993,0.739,1174,493
50,3,10,random,True,0.078,0.411,0.843,0.272,0.15,2.995,0.751,1175,491
50,1,5,high-degree,False,0.079,0.205,0.906,0.115,0.0,2.973,0.774,1141,485
50,2,10,random,True,0.079,0.349,0.77,0.226,0.164,3.011,0.755,1157,486
