N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,1,5,cluster,True,0.05,0.23,0.789,0.135,0.154,2.984,0.725,1184,484
50,1,5,random,True,0.06,0.233,0.862,0.135,0.144,2.979,0.72,1194,490
50,1,5,random,True,0.066,0.224,0.743,0.132,0.156,2.966,0.72,1185,483
50,1,5,cluster,True,0.067,0.215,0.864,0.123,0.152,2.992,0.733,1172,484
50,3,5,random,True,0.067,0.231,0.824,0.135,0.136,2.977,0.732,1168,485
50,1,5,high-degree,True,0.069,0.267,0.835,0.159,0.147,2.971,0.728,1171,485
50,1,5,random,False,0.073,0.204,0.873,0.115,0.0,2.98,0.758,1161,488
50,3,5,random,True,0.074,0.233,0.875,0.135,0.133,2.976,0.728,1168,482
50,3,5,high-degree,True,0.074,0.275,0.861,0.163,0.149,2.979,0.725,1203,490
50,3,5,high-degree,False,0.074,0.238,0.891,0.137,0.0,2.983,0.758,1169,486
50,3,5,cluster,True,0.075,0.263,0.833,0.156,0.143,2.998,0.74,1189,486
50,3,5,cluster,False,0.076,0.208,0.875,0.118,0.0,3.008,0.77,1212,485
50,1,5,high-degree,False,0.079,0.223,0.898,0.127,0.0,2.983,0.759,1181,489
50,3,5,high-degree,True,0.08,0.271,0.848,0.161,0.139,2.992,0.724,1178,490
50,1,5,high-degree,True,0.081,0.272,0.87,0.161,0.15,2.989,0.729,1195,485
50,3,5,random,False,0.086,0.219,0.881,0.125,0.0,2.992,0.753,1193,482
50,3,5,cluster,True,0.086,0.214,0.732,0.125,0.148,3.005,0.732,1186,487
50,1,5,cluster,False,0.089,0.195,0.836,0.111,0.0,3.001,0.761,1160,480
75,1,5,random,True,0.035,0.116,0.8,0.063,0.202,2.895,0.783,2208,1121
75,1,5,high-degree,True,0.036,0.139,0.911,0.075,0.208,2.913,0.786,2172,1103
75,3,5,high-degree,True,0.038,0.144,0.872,0.078,0.2,2.887,0.776,2160,1111
75,3,5,random,True,0.04,0.125,0.914,0.067,0.186,2.916,0.794,2141,1107
75,1,5,random,True,0.045,0.187,0.808,0.106,0.526,2.897,0.687,2161,1124
75,1,5,random,False,0.045,0.091,0.885,0.048,0.0,2.93,0.821,2195,1078
75,1,5,high-degree,True,0.045,0.144,0.872,0.078,0.19,2.911,0.789,2191,1124
