N,Hmax,obs_count,placement,cover_enabled,accuracy,graph_f1,graph_precision,graph_recall,dummy_fraction,avg_path_length,path_diversity,total_replies,conversation_threads
50,3,5,random,True,0.065,0.208,0.781,0.12,0.139,2.961,0.729,1156,491
50,3,5,high-degree,True,0.068,0.264,0.855,0.156,0.14,2.966,0.74,1174,478
50,1,5,random,True,0.072,0.239,0.841,0.139,0.16,2.971,0.722,1173,483
50,1,5,high-degree,True,0.075,0.274,0.85,0.163,0.136,2.986,0.732,1196,483
50,1,5,high-degree,False,0.08,0.257,0.925,0.149,0.0,2.976,0.758,1178,478
50,3,5,random,True,0.08,0.248,0.813,0.147,0.149,2.987,0.731,1168,488
50,3,5,high-degree,True,0.081,0.264,0.844,0.156,0.143,2.967,0.728,1186,490
50,3,5,high-degree,False,0.082,0.248,0.896,0.144,0.0,2.961,0.756,1143,479
50,3,5,cluster,True,0.084,0.223,0.898,0.127,0.141,2.965,0.729,1166,483
50,1,5,cluster,True,0.085,0.203,0.828,0.115,0.137,2.97,0.731,1173,487
50,1,5,random,True,0.088,0.243,0.855,0.142,0.146,2.966,0.728,1172,486
50,1,5,high-degree,True,0.088,0.265,0.878,0.156,0.148,2.972,0.733,1141,485
50,1,5,random,False,0.09,0.188,0.83,0.106,0.0,2.978,0.767,1149,483
50,3,5,cluster,True,0.091,0.21,0.833,0.12,0.15,2.967,0.732,1156,481
50,1,5,cluster,False,0.092,0.203,0.857,0.115,0.0,2.969,0.753,1195,476
50,1,5,cluster,True,0.095,0.243,0.855,0.142,0.143,2.962,0.73,1149,483
50,3,5,random,False,0.096,0.192,0.849,0.108,0.0,2.978,0.77,1164,481
50,3,5,cluster,False,0.097,0.153,0.814,0.084,0.0,2.965,0.75,1143,482
75,1,5,high-degree,True,0.043,0.151,0.888,0.083,0.186,2.925,0.786,2161,1100
75,1,5,cluster,True,0.044,0.128,0.857,0.069,0.191,2.917,0.781,2157,1104
75,3,5,random,True,0.045,0.129,0.838,0.07,0.198,2.926,0.781,2187,1106
75,1,5,high-degree,True,0.045,0.142,0.892,0.077,0.195,2.915,0.775,2158,1103
75,1,5,random,True,0.045,0.134,0.824,0.073,0.194,2.92,0.785,2192,1108
75,3,5,high-degree,False,0.046,0.114,0.951,0.061,0.0,2.926,0.814,2157,1072
75,3,5,high-degree,True,0.048,0.139,0.923,0.075,0.193,2.904,0.782,2071,1103
75,1,5,cluster,True,0.049,0.126,0.844,0.068,0.209,2.903,0.768,2195,1107
75,3,5,random,True,0.05,0.127,0.815,0.069,0.193,2.928,0.786,2137,1101
75,1,5,random,True,0.05,0.131,0.85,0.071,0.193,2.919,0.781,2171,1108
75,3,5,high-degree,True,0.051,0.153,0.879,0.084,0.198,2.91,0.779,2185,1104
75,3,5,cluster,True,0.054,0.128,0.857,0.069,0.213,2.902,0.778,2134,1111
75,3,5,cluster,True,0.056,0.141,0.779,0.077,0.199,2.917,0.775,2130,1102
75,1,5,random,False,0.056,0.08,0.909,0.042,0.0,2.914,0.816,2118,1078
75,1,5,high-degree,False,0.057,0.112,1.0,0.06,0.0,2.916,0.81,2123,1073
75,3,5,random,False,0.065,0.089,0.9,0.047,0.0,2.905,0.813,2170,1069
75,1,5,cluster,False,0.069,0.099,1.0,0.052,0.0,2.92,0.807,2137,1072
